time_delta,status_norm,domain_norm,status_norm,responseMethod_raw,responseSize_raw,requestMethod_raw,URL_raw,peerStatusHost_raw,mimeType_raw ,class_label
5,5,891,0,TCP_DENIED/403,3818,POST,http://192.168.57.101/is-ready,HIER_NONE/-,text/html,1
485,1,891,1,TCP_MISS/200,271,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
6,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
5,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
1,1,891,1,TCP_MISS/200,271,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
1,1,891,1,TCP_MISS/200,270,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
0,1,891,1,TCP_MISS/200,271,POST,http://192.168.57.101/is-enum-process,HIER_DIRECT/192.168.57.101,text/html,1
1,1,891,1,TCP_MISS/200,271,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
1,1,891,1,TCP_MISS/200,271,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
1,1,891,1,TCP_MISS/200,271,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
1,1,891,1,TCP_MISS/200,271,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
1,1,891,1,TCP_MISS/200,271,POST,http://192.168.57.101/is-ready,HIER_DIRECT/192.168.57.101,text/html,1
